epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.881,1.94751,2.19074,1.84337,0.07355,0.08478,0.0354,0.01267,2.47916,3.51746,2.27201,0.0670637,0.000165509,0.000165509
2,328.304,1.90359,2.0399,1.82972,0.39623,0.30347,0.26071,0.09507,2.33351,2.8865,2.14845,0.0338969,0.00033212,0.00033212
3,492.26,1.88365,1.96559,1.81062,0.41498,0.31571,0.26184,0.08937,2.4251,2.62999,2.18342,0.000729986,0.000498504,0.000498504
4,653.737,1.88285,1.97993,1.80615,0.43227,0.33044,0.30303,0.12131,2.35751,2.22163,2.05378,0.000499237,0.000499237,0.000499237
5,816.932,1.85829,1.91202,1.77385,0.50734,0.38394,0.34856,0.14153,2.25103,2.65723,1.98208,0.000498644,0.000498644,0.000498644
6,979.289,1.83532,1.85763,1.77875,0.49872,0.37187,0.34117,0.11551,2.4188,2.59347,2.11894,0.000497883,0.000497883,0.000497883
7,1141.17,1.81247,1.77682,1.75549,0.4593,0.39199,0.33352,0.12945,2.28486,2.79229,1.99143,0.000496953,0.000496953,0.000496953
8,1302.22,1.77096,1.74479,1.71875,0.50353,0.39884,0.36498,0.13859,2.29663,2.524,1.95455,0.000495856,0.000495856,0.000495856
9,1463.3,1.75709,1.71159,1.71166,0.53671,0.40959,0.39399,0.17123,2.125,2.38226,1.83156,0.000494592,0.000494592,0.000494592
10,1626.44,1.75092,1.67571,1.69822,0.53141,0.43449,0.41705,0.15754,2.2364,1.98871,1.98429,0.000493162,0.000493162,0.000493162
11,1787.21,1.73504,1.63043,1.67926,0.53092,0.43642,0.38887,0.1629,2.15678,1.90412,1.81994,0.000491567,0.000491567,0.000491567
12,1948.19,1.69397,1.6119,1.65975,0.58118,0.40751,0.42092,0.16975,2.2352,2.02954,1.88238,0.000489808,0.000489808,0.000489808
13,2109.35,1.70108,1.56966,1.66722,0.47294,0.46162,0.41055,0.16525,2.12969,1.98992,1.84586,0.000487886,0.000487886,0.000487886
14,2271.08,1.68025,1.55295,1.64719,0.55471,0.43804,0.42456,0.17335,2.20462,1.93075,1.91179,0.000485804,0.000485804,0.000485804
15,2438.38,1.6685,1.51936,1.62917,0.56131,0.45954,0.4478,0.20053,2.0824,1.85621,1.78081,0.000483561,0.000483561,0.000483561
16,2601.49,1.64568,1.47834,1.62981,0.5121,0.45502,0.43821,0.17968,2.1978,1.71897,1.94317,0.00048116,0.00048116,0.00048116
17,2762.47,1.6432,1.48337,1.61974,0.56004,0.4605,0.44852,0.19927,2.08667,1.75846,1.829,0.000478603,0.000478603,0.000478603
18,2924.01,1.65039,1.46822,1.61845,0.54546,0.4817,0.46684,0.20362,2.02921,1.67521,1.80059,0.00047589,0.00047589,0.00047589
19,3086.16,1.64503,1.44937,1.61945,0.60082,0.50027,0.46249,0.20818,2.068,1.86661,1.74642,0.000473024,0.000473024,0.000473024
20,3249.15,1.6158,1.41219,1.57935,0.63179,0.44894,0.47997,0.209,2.10232,1.80517,1.77523,0.000470007,0.000470007,0.000470007
21,3411.69,1.6183,1.41049,1.59881,0.6,0.46244,0.47275,0.20826,2.12704,1.74721,1.84949,0.000466841,0.000466841,0.000466841
22,3572.46,1.60895,1.38694,1.58317,0.59699,0.49037,0.47848,0.21477,2.12785,1.77484,1.78424,0.000463528,0.000463528,0.000463528
23,3735.45,1.60096,1.37206,1.58536,0.55912,0.50482,0.48129,0.21886,2.07278,1.63297,1.71667,0.000460071,0.000460071,0.000460071
24,3897.71,1.59026,1.36769,1.57501,0.58137,0.47688,0.48745,0.22558,2.06564,1.61992,1.82459,0.000456471,0.000456471,0.000456471
25,4061.45,1.57978,1.3515,1.57109,0.60736,0.49229,0.5113,0.2335,2.05513,1.50598,1.77756,0.000452732,0.000452732,0.000452732
26,4224.14,1.57094,1.30623,1.55979,0.57186,0.48651,0.48562,0.2137,2.06037,1.79526,1.7616,0.000448855,0.000448855,0.000448855
27,4385.7,1.57346,1.33216,1.55611,0.62249,0.4711,0.48643,0.21273,2.04975,1.60257,1.73644,0.000444844,0.000444844,0.000444844
28,4546.6,1.5621,1.29438,1.54776,0.58511,0.4891,0.47904,0.21729,1.9942,1.75859,1.71307,0.0004407,0.0004407,0.0004407
29,4708.13,1.53208,1.27477,1.53278,0.57585,0.54335,0.50921,0.22943,2.07471,1.5783,1.7808,0.000436428,0.000436428,0.000436428
30,4869.14,1.5423,1.26822,1.54445,0.58925,0.48844,0.50767,0.22543,1.98963,1.55253,1.70735,0.00043203,0.00043203,0.00043203
31,5030.17,1.52774,1.25659,1.53469,0.58224,0.47977,0.4932,0.22129,2.04382,1.56989,1.72333,0.000427509,0.000427509,0.000427509
32,5191.12,1.51135,1.23597,1.51932,0.59048,0.53898,0.51752,0.24302,1.98143,1.47453,1.74494,0.000422868,0.000422868,0.000422868
33,5353.54,1.53052,1.24265,1.52413,0.60586,0.5109,0.51467,0.24086,1.96801,1.55976,1.73012,0.00041811,0.00041811,0.00041811
34,5514.74,1.51738,1.23557,1.52206,0.59188,0.52254,0.50324,0.23001,1.99186,1.56007,1.72456,0.000413238,0.000413238,0.000413238
35,5676.42,1.51879,1.20846,1.52255,0.60599,0.48451,0.513,0.23815,2.06849,1.53041,1.75779,0.000408257,0.000408257,0.000408257
36,5837.52,1.49027,1.19715,1.49688,0.60615,0.49671,0.50222,0.23205,1.98593,1.51622,1.80305,0.000403168,0.000403168,0.000403168
37,5998.29,1.47639,1.17334,1.48266,0.63651,0.47881,0.5021,0.22537,1.99117,1.50753,1.73897,0.000397977,0.000397977,0.000397977
