epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,6159.51,1.4634,1.16144,1.47826,0.59585,0.50482,0.52024,0.24289,1.93345,1.44706,1.69321,0.000392686,0.000392686,0.000392686
39,6321.7,1.47235,1.18082,1.48901,0.62192,0.51734,0.53278,0.24215,2.02201,1.43779,1.78799,0.000387298,0.000387298,0.000387298
40,6483.13,1.48122,1.1759,1.49262,0.5549,0.56744,0.52679,0.2379,1.99134,1.48369,1.78704,0.000381818,0.000381818,0.000381818
41,6644.62,1.46752,1.14954,1.48318,0.55329,0.57514,0.53197,0.23802,2.05922,1.53238,1.82999,0.00037625,0.00037625,0.00037625
42,6805.87,1.4516,1.1487,1.4751,0.60619,0.51734,0.53269,0.23666,2.00854,1.47193,1.77898,0.000370597,0.000370597,0.000370597
43,6966.75,1.47515,1.15692,1.49292,0.59309,0.56027,0.52672,0.23408,1.9753,1.54275,1.7698,0.000364863,0.000364863,0.000364863
44,7128.25,1.4398,1.12724,1.46057,0.60122,0.48844,0.51224,0.24817,1.94109,1.52775,1.73824,0.000359051,0.000359051,0.000359051
45,7291.15,1.44037,1.12536,1.46346,0.63803,0.51156,0.53336,0.2522,1.95648,1.49643,1.72014,0.000353167,0.000353167,0.000353167
46,7458.37,1.43522,1.1009,1.46703,0.60211,0.50193,0.51206,0.24112,2.01492,1.51623,1.83927,0.000347214,0.000347214,0.000347214
47,7619.4,1.42525,1.11133,1.44852,0.6086,0.48459,0.49432,0.23075,1.96909,1.61473,1.79429,0.000341196,0.000341196,0.000341196
48,7780.77,1.42201,1.09556,1.44935,0.56247,0.57803,0.52843,0.24546,1.95067,1.39993,1.72057,0.000335117,0.000335117,0.000335117
49,7941.86,1.40124,1.08829,1.45059,0.51173,0.57611,0.52131,0.24839,1.99734,1.48572,1.75172,0.000328982,0.000328982,0.000328982
50,8103.36,1.39799,1.07946,1.43851,0.58128,0.54143,0.52745,0.2483,1.93195,1.42051,1.74674,0.000322794,0.000322794,0.000322794
51,8264.24,1.39291,1.06249,1.42954,0.5589,0.5395,0.53302,0.25573,1.94086,1.46564,1.77153,0.000316558,0.000316558,0.000316558
52,8427.27,1.38702,1.07406,1.43248,0.59648,0.51445,0.5214,0.24289,1.97116,1.52995,1.74761,0.000310278,0.000310278,0.000310278
53,8588.2,1.38206,1.04614,1.41061,0.59442,0.58737,0.548,0.25245,1.93194,1.41715,1.72973,0.000303958,0.000303958,0.000303958
54,8749.01,1.38259,1.05959,1.42983,0.63662,0.52601,0.53238,0.25487,1.91324,1.39845,1.7579,0.000297603,0.000297603,0.000297603
55,8910.16,1.37423,1.02879,1.4098,0.61306,0.49904,0.5305,0.24841,1.90456,1.49878,1.70227,0.000291218,0.000291218,0.000291218
56,9070.49,1.35766,1.02658,1.40392,0.53565,0.5684,0.52955,0.24999,1.89449,1.45023,1.70817,0.000284805,0.000284805,0.000284805
57,9231.95,1.34457,0.99501,1.39313,0.58822,0.47592,0.499,0.23818,1.92596,1.57993,1.68769,0.000278371,0.000278371,0.000278371
58,9393.25,1.3461,1.01246,1.39785,0.57601,0.49615,0.50789,0.24487,1.96338,1.4871,1.77391,0.000271919,0.000271919,0.000271919
59,9553.95,1.33709,1.00055,1.39182,0.57776,0.55395,0.52947,0.25072,1.98284,1.49768,1.8093,0.000265453,0.000265453,0.000265453
60,9715.64,1.34603,1.005,1.40171,0.58649,0.58092,0.54167,0.2557,1.94799,1.41774,1.73692,0.000258979,0.000258979,0.000258979
61,9876.29,1.31995,0.99028,1.38299,0.57354,0.58574,0.54907,0.26262,1.9048,1.384,1.67592,0.0002525,0.0002525,0.0002525
62,10039.3,1.30585,0.97733,1.38247,0.59144,0.58863,0.53311,0.25706,1.96267,1.36316,1.75717,0.000246021,0.000246021,0.000246021
63,10200.4,1.3331,0.98083,1.39092,0.57629,0.5464,0.53118,0.25302,1.86641,1.3888,1.69865,0.000239547,0.000239547,0.000239547
64,10360.9,1.2918,0.96796,1.36351,0.52973,0.56647,0.52281,0.2518,1.859,1.43326,1.71038,0.000233081,0.000233081,0.000233081
65,10522.7,1.29528,0.95353,1.37499,0.60907,0.56069,0.54794,0.25749,1.88751,1.38195,1.68735,0.000226629,0.000226629,0.000226629
66,10683.9,1.28831,0.96435,1.3714,0.61345,0.53663,0.54254,0.25639,1.83764,1.39166,1.71477,0.000220195,0.000220195,0.000220195
67,10846,1.29683,0.9419,1.35669,0.60253,0.55641,0.5433,0.25947,1.85234,1.39553,1.66029,0.000213782,0.000213782,0.000213782
68,11007.8,1.28669,0.93795,1.35606,0.63826,0.49229,0.51847,0.25111,1.89175,1.38723,1.70806,0.000207397,0.000207397,0.000207397
69,11169.8,1.2817,0.93217,1.34615,0.56856,0.5472,0.52801,0.26061,1.8556,1.36355,1.696,0.000201042,0.000201042,0.000201042
70,11331.3,1.27826,0.95238,1.3585,0.59218,0.57033,0.54072,0.26608,1.82505,1.3867,1.67849,0.000194722,0.000194722,0.000194722
71,11494.4,1.27448,0.92642,1.35055,0.58226,0.58413,0.54243,0.26327,1.83254,1.35706,1.68813,0.000188442,0.000188442,0.000188442
72,11656.9,1.26349,0.91435,1.33869,0.57198,0.5183,0.5217,0.25595,1.8695,1.40153,1.7149,0.000182206,0.000182206,0.000182206
73,11817.6,1.2609,0.93003,1.33308,0.63874,0.51445,0.54638,0.2654,1.83017,1.35499,1.678,0.000176018,0.000176018,0.000176018
74,11979.4,1.23922,0.89893,1.32733,0.59044,0.57322,0.53656,0.26629,1.8243,1.33235,1.69262,0.000169883,0.000169883,0.000169883
75,12141.5,1.23368,0.90446,1.31974,0.597,0.53276,0.52932,0.25754,1.83885,1.36252,1.70277,0.000163804,0.000163804,0.000163804
76,12302.8,1.23543,0.89649,1.32037,0.60073,0.54501,0.52232,0.25525,1.90036,1.38889,1.73763,0.000157786,0.000157786,0.000157786
77,12463.8,1.23377,0.87888,1.31695,0.60639,0.55953,0.53788,0.2621,1.86283,1.35567,1.73074,0.000151833,0.000151833,0.000151833
78,12625.1,1.22262,0.88752,1.31303,0.60812,0.52697,0.53045,0.25994,1.86087,1.3857,1.71025,0.000145949,0.000145949,0.000145949
79,12787.1,1.22661,0.89162,1.32182,0.58819,0.55299,0.53116,0.25924,1.83577,1.40359,1.70535,0.000140137,0.000140137,0.000140137
80,12947.6,1.20215,0.86616,1.297,0.61203,0.53372,0.53296,0.26027,1.82931,1.38221,1.70742,0.000134403,0.000134403,0.000134403
81,13109.1,1.22146,0.8706,1.31698,0.57954,0.52601,0.52582,0.2559,1.85667,1.41736,1.72628,0.00012875,0.00012875,0.00012875
82,13270.3,1.20049,0.86815,1.29958,0.62452,0.5416,0.53963,0.26299,1.86956,1.38587,1.72876,0.000123182,0.000123182,0.000123182
83,13430.8,1.1966,0.85687,1.29331,0.60808,0.53854,0.52827,0.25605,1.854,1.39647,1.7416,0.000117702,0.000117702,0.000117702
84,13591.7,1.18919,0.84752,1.29876,0.59153,0.51252,0.51805,0.25296,1.83797,1.42604,1.73792,0.000112314,0.000112314,0.000112314
85,13752.3,1.18361,0.84917,1.28389,0.58141,0.52697,0.52473,0.25572,1.84238,1.40199,1.75253,0.000107023,0.000107023,0.000107023
86,13913.3,1.1956,0.85748,1.30646,0.62698,0.53468,0.5428,0.26401,1.83872,1.35361,1.73197,0.000101832,0.000101832,0.000101832
87,14075,1.19224,0.85984,1.30512,0.59741,0.56551,0.54468,0.2662,1.81957,1.3392,1.72614,9.67432e-05,9.67432e-05,9.67432e-05
88,14235.9,1.18555,0.85457,1.29468,0.61431,0.51251,0.52145,0.25124,1.86784,1.44768,1.76453,9.17616e-05,9.17616e-05,9.17616e-05
89,14397.2,1.18274,0.84375,1.28645,0.55818,0.52023,0.51235,0.24739,1.83871,1.48379,1.7363,8.68902e-05,8.68902e-05,8.68902e-05
90,14558.6,1.16593,0.83672,1.28276,0.55886,0.51638,0.51602,0.24697,1.82518,1.47086,1.75178,8.21322e-05,8.21322e-05,8.21322e-05
91,14719.5,1.1599,0.82792,1.26926,0.61349,0.49392,0.52183,0.24744,1.83955,1.44267,1.72372,7.74911e-05,7.74911e-05,7.74911e-05
92,14881.4,1.16048,0.82258,1.27377,0.56663,0.51897,0.51675,0.24727,1.84163,1.43628,1.72696,7.29698e-05,7.29698e-05,7.29698e-05
93,15042.1,1.14977,0.81963,1.27209,0.55178,0.53661,0.517,0.2512,1.8188,1.41721,1.7282,6.85717e-05,6.85717e-05,6.85717e-05
94,15202.5,1.14413,0.82055,1.27032,0.54273,0.54239,0.5184,0.25461,1.82711,1.46403,1.7457,6.42995e-05,6.42995e-05,6.42995e-05
95,15363.2,1.14355,0.81021,1.26476,0.6523,0.49904,0.52752,0.2596,1.8459,1.41192,1.7368,6.01564e-05,6.01564e-05,6.01564e-05
96,15523.9,1.13964,0.80694,1.25505,0.65976,0.49505,0.52585,0.25627,1.83894,1.41572,1.72791,5.6145e-05,5.6145e-05,5.6145e-05
97,15685.6,1.1205,0.79974,1.25079,0.59976,0.51927,0.52917,0.25684,1.8241,1.41756,1.71817,5.22683e-05,5.22683e-05,5.22683e-05
98,15846.4,1.14139,0.81604,1.25718,0.62294,0.51734,0.532,0.25972,1.82387,1.37761,1.71419,4.85288e-05,4.85288e-05,4.85288e-05
99,16007.2,1.13005,0.79337,1.24517,0.64133,0.50096,0.52859,0.2563,1.84884,1.4043,1.72979,4.4929e-05,4.4929e-05,4.4929e-05
