epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4941.01,1.43908,1.03594,1.35455,0.59315,0.49951,0.53156,0.24623,2.04105,1.59135,1.6505,0.00032155,0.00032155,0.00032155
43,5058.53,1.40683,0.99663,1.34109,0.59984,0.51333,0.5238,0.24979,2.14231,1.60881,1.73905,0.000314051,0.000314051,0.000314051
44,5175.92,1.3931,1.00868,1.33066,0.57468,0.53221,0.52433,0.24453,2.1046,1.78959,1.73463,0.00030649,0.00030649,0.00030649
45,5292.26,1.39262,0.99373,1.32336,0.59491,0.49654,0.52109,0.25309,2.04031,1.72896,1.69932,0.000298877,0.000298877,0.000298877
46,5409.19,1.36514,0.99584,1.3143,0.57902,0.49457,0.49636,0.23505,2.08156,1.63365,1.70039,0.000291218,0.000291218,0.000291218
47,5526.76,1.37183,0.96985,1.30985,0.58662,0.48272,0.50126,0.24561,2.10086,1.60713,1.70894,0.00028352,0.00028352,0.00028352
48,5643.32,1.35985,0.96829,1.30845,0.55909,0.50642,0.51203,0.24056,2.13485,1.67782,1.76108,0.000275792,0.000275792,0.000275792
49,5760.05,1.35677,0.97307,1.31566,0.62094,0.47057,0.50152,0.24164,2.17399,1.69941,1.82055,0.000268041,0.000268041,0.000268041
50,5877.49,1.34365,0.9504,1.30006,0.54868,0.51135,0.51217,0.24602,2.14966,1.7599,1.7698,0.000260274,0.000260274,0.000260274
51,5994.88,1.33031,0.94603,1.28667,0.5626,0.53998,0.52428,0.24435,2.12852,1.59434,1.76268,0.0002525,0.0002525,0.0002525
52,6111.51,1.31884,0.94221,1.29804,0.54074,0.52536,0.51801,0.24256,2.17957,1.63733,1.78049,0.000244726,0.000244726,0.000244726
53,6227.94,1.31184,0.94052,1.27801,0.57042,0.54097,0.51969,0.24731,2.18018,1.60773,1.83424,0.000236959,0.000236959,0.000236959
54,6345.07,1.31273,0.90796,1.27274,0.549,0.55972,0.52908,0.24852,2.10631,1.65093,1.75928,0.000229208,0.000229208,0.000229208
55,6461.69,1.29291,0.91308,1.26947,0.58226,0.55577,0.5296,0.25233,2.13083,1.54629,1.73543,0.00022148,0.00022148,0.00022148
56,6578.27,1.2834,0.89885,1.2594,0.59418,0.51728,0.53166,0.25307,2.07168,1.58138,1.73826,0.000213782,0.000213782,0.000213782
57,6695.46,1.27483,0.89168,1.25914,0.57546,0.55479,0.52954,0.25225,2.09014,1.50592,1.74153,0.000206123,0.000206123,0.000206123
58,6812.22,1.26595,0.89222,1.24931,0.56433,0.5696,0.5401,0.25938,2.07972,1.56174,1.77045,0.00019851,0.00019851,0.00019851
59,6930.1,1.28403,0.88653,1.25854,0.50152,0.52419,0.5018,0.23853,2.05204,1.54926,1.70503,0.000190949,0.000190949,0.000190949
60,7046.88,1.27115,0.87656,1.2487,0.55789,0.56861,0.52898,0.24771,2.10772,1.63998,1.74357,0.00018345,0.00018345,0.00018345
61,7163.55,1.24285,0.86397,1.23693,0.57045,0.55717,0.5505,0.26642,2.05388,1.49035,1.72235,0.000176018,0.000176018,0.000176018
62,7281.18,1.23753,0.8669,1.23527,0.60539,0.51037,0.52618,0.25388,2.00568,1.54201,1.73275,0.000168662,0.000168662,0.000168662
63,7398.1,1.24128,0.85304,1.23324,0.58374,0.52329,0.52722,0.25285,2.08984,1.59165,1.76962,0.000161389,0.000161389,0.000161389
64,7515.35,1.22792,0.84159,1.22647,0.5796,0.51854,0.54067,0.26086,2.05897,1.53868,1.75294,0.000154206,0.000154206,0.000154206
65,7631.8,1.22021,0.83031,1.22285,0.59468,0.51706,0.53089,0.25505,2.02517,1.54334,1.71217,0.00014712,0.00014712,0.00014712
66,7748.55,1.20494,0.82254,1.22298,0.56544,0.53899,0.5254,0.25581,2.1207,1.5837,1.78127,0.000140137,0.000140137,0.000140137
67,7865.36,1.20117,0.82503,1.2215,0.60483,0.48174,0.52236,0.25675,2.06222,1.6264,1.77074,0.000133266,0.000133266,0.000133266
68,7982.21,1.20328,0.83001,1.22519,0.58468,0.51697,0.53463,0.25982,2.11985,1.56816,1.77875,0.000126512,0.000126512,0.000126512
69,8099.41,1.19649,0.8145,1.2048,0.55939,0.53011,0.52693,0.25754,2.07823,1.58348,1.76494,0.000119883,0.000119883,0.000119883
70,8215.92,1.17128,0.79567,1.19786,0.6259,0.51035,0.53305,0.25673,2.05721,1.52438,1.74075,0.000113384,0.000113384,0.000113384
71,8333.41,1.16637,0.78619,1.19509,0.58524,0.54294,0.5362,0.25861,2.06899,1.51271,1.75411,0.000107023,0.000107023,0.000107023
72,8450.49,1.16143,0.7894,1.202,0.55088,0.55972,0.53064,0.26055,2.04031,1.55375,1.77613,0.000100806,0.000100806,0.000100806
73,8567.53,1.16317,0.80087,1.19644,0.5932,0.49375,0.52134,0.25129,2.09523,1.59943,1.78815,9.47376e-05,9.47376e-05,9.47376e-05
74,8684.6,1.14976,0.7773,1.18559,0.58695,0.5153,0.52352,0.25635,2.08417,1.63923,1.79002,8.88253e-05,8.88253e-05,8.88253e-05
75,8801.96,1.14451,0.76613,1.18056,0.57206,0.53406,0.53131,0.25247,2.08119,1.57005,1.76206,8.30746e-05,8.30746e-05,8.30746e-05
76,8919.36,1.14082,0.76646,1.18437,0.60266,0.50907,0.52232,0.25473,2.04447,1.55941,1.7589,7.74911e-05,7.74911e-05,7.74911e-05
77,9035.81,1.12808,0.75787,1.17005,0.5902,0.52746,0.53045,0.25535,2.07015,1.53141,1.76606,7.20803e-05,7.20803e-05,7.20803e-05
78,9152.27,1.12873,0.75034,1.16985,0.59441,0.50642,0.52119,0.25329,2.05763,1.51864,1.77877,6.68475e-05,6.68475e-05,6.68475e-05
79,9269.28,1.12598,0.75707,1.17194,0.5575,0.5459,0.52342,0.2521,2.07836,1.53185,1.77645,6.1798e-05,6.1798e-05,6.1798e-05
80,9386.44,1.115,0.7556,1.17124,0.5565,0.54492,0.53076,0.25706,2.06244,1.5075,1.78553,5.69366e-05,5.69366e-05,5.69366e-05
81,9503.17,1.12289,0.75002,1.16453,0.55463,0.55936,0.52557,0.25304,2.03306,1.53098,1.766,5.22683e-05,5.22683e-05,5.22683e-05
